utc_date,utc_timestamp,local_date,local_timestamp,country_name,price_area,country_code,market_program_name,auction_type,currency_code,PTU_length,Day-ahead Energy Price
2023-01-01,2023-01-01 00:00:00,2023-01-01,2023-01-01 02:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,1.379999995
2023-01-01,2023-01-01 01:00:00,2023-01-01,2023-01-01 03:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,0.09000000358
2023-01-01,2023-01-01 02:00:00,2023-01-01,2023-01-01 04:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,0.07999999821
2023-01-01,2023-01-01 03:00:00,2023-01-01,2023-01-01 05:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,0.05000000075
2023-01-01,2023-01-01 04:00:00,2023-01-01,2023-01-01 06:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,0.07999999821
2023-01-01,2023-01-01 05:00:00,2023-01-01,2023-01-01 07:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,0.09000000358
2023-01-01,2023-01-01 06:00:00,2023-01-01,2023-01-01 08:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,0.5299999714
2023-01-01,2023-01-01 07:00:00,2023-01-01,2023-01-01 09:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,2.029999971
2023-01-01,2023-01-01 08:00:00,2023-01-01,2023-01-01 10:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,3.099999905
2023-01-01,2023-01-01 09:00:00,2023-01-01,2023-01-01 11:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,4.429999828
2023-01-01,2023-01-01 10:00:00,2023-01-01,2023-01-01 12:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,6.059999943
2023-01-01,2023-01-01 11:00:00,2023-01-01,2023-01-01 13:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,6.059999943
2023-01-01,2023-01-01 12:00:00,2023-01-01,2023-01-01 14:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,5.679999828
2023-01-01,2023-01-01 13:00:00,2023-01-01,2023-01-01 15:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,17.70999908
2023-01-01,2023-01-01 14:00:00,2023-01-01,2023-01-01 16:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,24.11000061
2023-01-01,2023-01-01 15:00:00,2023-01-01,2023-01-01 17:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,36.54000092
2023-01-01,2023-01-01 16:00:00,2023-01-01,2023-01-01 18:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,46.02999878
2023-01-01,2023-01-01 17:00:00,2023-01-01,2023-01-01 19:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,54.22999954
2023-01-01,2023-01-01 18:00:00,2023-01-01,2023-01-01 20:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,53.63000107
2023-01-01,2023-01-01 19:00:00,2023-01-01,2023-01-01 21:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,48.04999924
2023-01-01,2023-01-01 20:00:00,2023-01-01,2023-01-01 22:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,44.68000031
2023-01-01,2023-01-01 21:00:00,2023-01-01,2023-01-01 23:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,45.95999908
2023-01-01,2023-01-01 22:00:00,2023-01-02,2023-01-02 00:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,35
2023-01-01,2023-01-01 23:00:00,2023-01-02,2023-01-02 01:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,57.90999985
2023-01-02,2023-01-02 00:00:00,2023-01-02,2023-01-02 02:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,51.66999817
2023-01-02,2023-01-02 01:00:00,2023-01-02,2023-01-02 03:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,52.86000061
2023-01-02,2023-01-02 02:00:00,2023-01-02,2023-01-02 04:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,44.15999985
2023-01-02,2023-01-02 03:00:00,2023-01-02,2023-01-02 05:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,50.08000183
2023-01-02,2023-01-02 04:00:00,2023-01-02,2023-01-02 06:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,70.73000336
2023-01-02,2023-01-02 05:00:00,2023-01-02,2023-01-02 07:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,102.5599976
2023-01-02,2023-01-02 06:00:00,2023-01-02,2023-01-02 08:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,138.1900024
2023-01-02,2023-01-02 07:00:00,2023-01-02,2023-01-02 09:00:00,Finland,FI,FI,Day-ahead,,EUR,hourly,145.9799957
